intent,question,answer,context,answer_distilbert,answer_bert,answer_roberta
Course Information,What courses are offered at this community college?,"We offer a wide variety of courses including English, math, science, social studies, and many more. You can find a full list of our courses on our website or in our course catalog.",This community college prides itself on offering a diverse range of courses to meet the needs and interests of all our students.,"Answer: diverse range of courses
Score: 0.30","Answer: diverse range of courses
Score: 0.30","Answer: diverse range of courses
Score: 0.30"
Admissions,How do I apply to this community college?,"You can apply to our community college online through our website or in person at our admissions office. We require a completed application form, official high school transcripts, and any other relevant documentation such as test scores or letters of recommendation.","Our admissions process is designed to be accessible and straightforward for all students, regardless of their background or circumstances.","Answer: accessible and straightforward for all students, regardless of their background or circumstances
Score: 0.14","Answer: accessible and straightforward for all students, regardless of their background or circumstances
Score: 0.14","Answer: accessible and straightforward for all students, regardless of their background or circumstances
Score: 0.14"
Financial Aid,What financial aid options are available at this community college?,"We offer a range of financial aid options including scholarships, grants, and student loans. You can learn more about our financial aid programs on our website or by speaking with a financial aid advisor.","We understand that paying for college can be challenging for many students, and we are committed to providing financial assistance to those who need it.","Answer: providing financial assistance to those who need it
Score: 0.31","Answer: providing financial assistance to those who need it
Score: 0.31","Answer: providing financial assistance to those who need it
Score: 0.31"
Student Support,What kind of support services are available to students at this community college?,"We offer a range of support services including tutoring, academic advising, career counseling, and disability services. We also have a student success center where students can get help with a variety of academic and personal issues.",We are committed to providing our students with the resources they need to succeed both academically and personally.,"Answer: resources
Score: 0.69","Answer: resources
Score: 0.69","Answer: resources
Score: 0.69"
Campus Life,What is campus life like at this community college?,"We have a vibrant and active campus community with many clubs and organizations to get involved in. We also host a variety of events and activities throughout the year, including concerts, speakers, and cultural celebrations.","Our community college is more than just a place to take classes - it's a place to build connections, explore new interests, and have fun.","Answer: a place to build connections, explore new interests, and have fun
Score: 0.55","Answer: a place to build connections, explore new interests, and have fun
Score: 0.55","Answer: a place to build connections, explore new interests, and have fun
Score: 0.55"
Transfer,What transfer opportunities are available to students at this community college?,"We have transfer agreements with many four-year colleges and universities, which can help make the transfer process smoother and more seamless. We also have dedicated transfer advisors who can help students navigate the transfer process.","We understand that many of our students plan to transfer to a four-year college or university, and we are committed to helping them achieve that goal.","Answer: many of our students plan to transfer to a four-year college or university
Score: 0.09","Answer: many of our students plan to transfer to a four-year college or university
Score: 0.09","Answer: many of our students plan to transfer to a four-year college or university
Score: 0.09"
Online Learning,Can I take courses online at this community college?,"Yes, we offer a variety of online courses and programs. You can take individual courses online or complete an entire degree online. We use state-of-the-art technology to deliver high-quality online education that is just as rigorous and engaging as our traditional in-person courses.","We recognize that many of our students have busy schedules or may live far from our physical campus, which is why we offer a range of online learning options to make education more accessible and flexible.","Answer: online learning options
Score: 0.11","Answer: online learning options
Score: 0.11","Answer: online learning options
Score: 0.11"
Faculty,What are the qualifications of the faculty at this community college?,"Our faculty members are highly qualified and experienced professionals in their respective fields. They hold advanced degrees and have a passion for teaching and mentoring students. We are committed to providing our students with the best possible learning experience, and our faculty plays a critical role in achieving that goal.",We take great pride in our faculty and are dedicated to attracting and retaining the best talent in higher education.,"Answer: attracting and retaining the best talent in higher education
Score: 0.06","Answer: attracting and retaining the best talent in higher education
Score: 0.06","Answer: attracting and retaining the best talent in higher education
Score: 0.06"
Facilities,What kind of facilities does this community college have?,"We have modern and well-equipped facilities including classrooms, labs, libraries, and student centers. Our campus is designed to provide a comfortable and supportive learning environment for all our students.",We believe that having high-quality facilities is essential to creating a positive and engaging learning environment for our students.,"Answer: high-quality
Score: 0.82","Answer: high-quality
Score: 0.82","Answer: high-quality
Score: 0.82"
Community Outreach,What kind of community outreach programs does this community college have?,"We have a variety of community outreach programs that aim to promote education, civic engagement, and social justice. Some of our programs include tutoring and mentoring programs for K-12 students, community service projects, and advocacy initiatives.",We are committed to making a positive impact on our local community and beyond through our outreach and service programs.,"Answer: service programs
Score: 0.51","Answer: service programs
Score: 0.51","Answer: service programs
Score: 0.51"
